ID,acceptedTaxonName,taxonRank,taxonomicStatus,vernacularName,taxonomicLevel,lifeStage,metabolicType,movementType,lowestMass,highestMass,meanMass,shortestLength,longestLength,meanLength,sizeMethod,sizeReference
1,Tipulidae,family,accepted,na,family,larvae,invertebrate,walking,-999,-999,0.005315518,-999,-999,-999,measurement published account regression,cattin blandenier (2004)
2,Coleoptera,order,accepted,na,order,larvae,invertebrate,walking,-999,-999,3.84e-5,-999,-999,-999,measurement published account regression,cattin blandenier (2004)
3,Araneidae,family,accepted,na,family,immature,invertebrate,walking,-999,-999,1.12274e-4,-999,-999,-999,measurement published account regression,cattin blandenier (2004)
4,Tettigoniidae,family,accepted,na,family,larvae,invertebrate,walking,-999,-999,0.030210826,-999,-999,-999,measurement published account regression,cattin blandenier (2004)
5,Chironomidae,family,accepted,na,family,na,invertebrate,flying,-999,-999,1.63186e-4,-999,-999,-999,measurement published account regression,cattin blandenier (2004)
6,Acrididae,family,accepted,na,family,larvae,invertebrate,walking,-999,-999,0.041023122,-999,-999,-999,measurement published account regression,cattin blandenier (2004)
7,Stilicus rufipes,species,synonym,na,species,na,invertebrate,walking,-999,-999,2.45429e-4,-999,-999,-999,measurement published account regression,cattin blandenier (2004)
8,Trogophloeus corticinus,species,synonym,na,species,na,invertebrate,walking,-999,-999,2.45429e-4,-999,-999,-999,measurement published account regression,cattin blandenier (2004)
9,Lepidoptera,order,accepted,na,order,na,invertebrate,flying,-999,-999,2.50873e-4,-999,-999,-999,measurement published account regression,cattin blandenier (2004)
10,Lycosidae,family,accepted,na,family,immature,invertebrate,walking,-999,-999,2.79476e-4,-999,-999,-999,measurement published account regression,cattin blandenier (2004)
11,Conocephalus dorsalis,species,accepted,na,species,na,invertebrate,walking,-999,-999,0.07568607,-999,-999,-999,measurement published account regression,cattin blandenier (2004)
12,Liocranidae,family,accepted,na,family,immature,invertebrate,walking,-999,-999,3.66186e-4,-999,-999,-999,measurement published account regression,cattin blandenier (2004)
